repository,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std,repository_full_name,popularidade_estrelas,atividade_releases,maturidade_anos
--,3.541921483527323,2.0,7.169477608041468,2.910830538567765,2.0,52.984725679838,440.4263168277767,0.0,5564.685930745702,981011512/--,4612,0,5.23
1brc,3.1666666666666665,3.0,2.4750283158304467,1.09,1.0,0.381412890432814,7.58,1.0,23.52692344693907,gunnarmorling/1brc,7397,0,1.71
APIJSON,5.885714285714286,3.0,8.672032102497631,1.2428571428571429,1.0,0.6688886366814536,1165.571428571429,6.0,5422.453972974497,Tencent/APIJSON,18187,110,8.8
ARouter,3.693877551020408,2.0,4.910347087623659,1.4081632653061225,1.0,0.7843407461424728,17.448979591836736,0.0,83.33266119372671,alibaba/ARouter,14493,16,8.74
ASimpleCache,4.448275862068965,2.0,5.248035053349232,1.4482758620689655,1.0,0.6316761657092368,38.51724137931034,0.0,109.50330089273082,yangfuhai/ASimpleCache,3677,0,12.12
AVLoadingIndicatorView,3.565217391304348,2.0,2.3641291304893404,1.7826086956521738,1.0,1.0464601445871071,6.75,0.0,42.84462729342021,HarlonWang/AVLoadingIndicatorView,9772,1,9.88
ActionBarSherlock,6.283372365339578,4.0,7.111240844390945,1.9508196721311477,1.0,1.565447942549594,63.39812646370024,0.0,264.2789122700865,JakeWharton/ActionBarSherlock,7076,32,14.52
ActiveAndroid,5.435483870967742,3.0,5.541559725227201,1.7419354838709675,1.0,1.0232619630132658,22.080645161290324,3.0,80.10757079039158,pardom-zz/ActiveAndroid,4680,0,12.82
Activiti,5.8018784854710885,4.0,8.607601346075995,1.5309656589374816,1.0,0.9018938648463432,89.4109186968007,1.0,1571.6567744425474,Activiti/Activiti,10424,1000,12.99
Aegis,7.447136563876652,5.0,9.508707671600702,1.709251101321586,1.0,1.0203461575268464,22.865638766519822,1.0,141.93745166569914,beemdevelopment/Aegis,11099,72,9.07
AgentWeb,5.3984375,3.0,7.348298289066525,1.48828125,1.0,0.9979682177932774,18.79296875,0.0,99.16253299693209,Justson/AgentWeb,9351,21,8.33
AlgoDS,1.3380281690140845,1.0,0.8320732508818153,1.004225352112676,1.0,0.0649109615147554,1.4112676056338027,0.0,4.099934613527071,sherxon/AlgoDS,3433,0,8.74
Algorithms,2.611231101511879,2.0,1.79104409697221,1.0539956803455723,1.0,0.2262536407176913,16.19654427645788,3.0,38.50701612774522,williamfiset/Algorithms,18209,0,8.48
Alink,6.437721549932771,5.0,6.235825188860401,1.62657376848796,1.0,0.9997666514252436,34.70272582813837,0.0,236.7063460447358,alibaba/Alink,3609,22,6.95
AmazeFileManager,7.304740406320541,4.0,10.724845350607607,1.4492099322799097,1.0,0.9881735328078016,28.839729119638825,0.0,166.95234384356095,TeamAmaze/AmazeFileManager,5757,66,11.16
AndPermission,3.994047619047619,3.0,3.666480346252434,1.1666666666666667,1.0,0.3737921332535445,7.488095238095238,0.0,35.26172257540586,yanzhenjie/AndPermission,6647,0,9.0
AndResGuard,3.5303030303030303,2.0,4.558068744105411,1.5,1.0,0.8638019716079872,22.37878787878788,1.5,44.33708819123544,shwenzhang/AndResGuard,8624,4,9.92
AndServer,5.0233644859813085,3.0,6.298104334206794,1.5420560747663552,1.0,1.1929399028720318,48.05140186915888,1.0,244.82167923294435,yanzhenjie/AndServer,3819,1,9.24
AndroRAT,2.872727272727273,2.0,3.8348042851916064,1.1636363636363636,1.0,0.37335497772755,1.3818181818181818,0.0,5.005518839762652,karma9874/AndroRAT,4117,0,5.47
Android-BluetoothKit,4.074688796680498,2.0,5.431641710715307,1.2406639004149378,1.0,0.5084350735997567,18.70124481327801,0.0,75.06648413313792,dingjikerbo/Android-BluetoothKit,3671,0,9.93
Android-Bootstrap,6.962025316455696,3.0,8.321185563297938,1.6708860759493671,1.0,0.8581661871710136,31.39240506329114,2.0,77.89101816517856,Bearded-Hen/Android-Bootstrap,7271,5,11.86
Android-CleanArchitecture,5.142857142857143,4.0,4.670753051268507,1.4285714285714286,1.0,0.7051615043752368,6.723809523809524,1.0,23.21782108892253,android10/Android-CleanArchitecture,15565,0,11.06
Android-ConvenientBanner,4.827586206896552,3.0,5.359030865992478,1.4482758620689655,1.0,0.6858887298634484,7.793103448275862,1.0,20.15365849514465,saiwu-bigkoo/Android-ConvenientBanner,4772,0,10.72
Android-Debug-Database,4.147540983606557,4.0,3.8027887379911536,1.278688524590164,1.0,0.520613341517599,8.80327868852459,0.0,22.79825992784767,amitshekhariitbhu/Android-Debug-Database,8559,14,8.82
Android-IMSI-Catcher-Detector,5.059760956175299,3.0,6.862099849363129,1.330677290836653,1.0,0.6619782016367541,4.964143426294821,0.0,16.362478698636913,CellularPrivacy/Android-IMSI-Catcher-Detector,5094,48,11.8
Android-Image-Cropper,7.725,4.0,9.418986553356348,1.375,1.0,0.5400617248673217,70.375,0.0,236.73383165758548,ArthurHub/Android-Image-Cropper,6424,32,10.66
Android-ObservableScrollView,5.014925373134329,3.0,4.606336878748876,1.9671641791044776,2.0,1.1667022027281624,7.570149253731343,0.0,30.68499904098616,ksoichiro/Android-ObservableScrollView,9652,0,10.84
Android-PickerView,3.725274725274725,2.0,5.05759260708521,1.1538461538461535,1.0,0.3628001262733127,15.494505494505496,0.0,90.56359013623442,Bigkoo/Android-PickerView,13482,0,10.7
